name,author,narrator,time,releasedate,language,stars,price
The Authentic Life of Billy the Kid,Writtenby:PatF.Garrett,Narratedby:DanielLuna,5 hrs and 29 mins,15-11-06,English,Not rated yet,702.00
Grant,Writtenby:JohnMosier,Narratedby:BrianEmerson,6 hrs and 22 mins,01-08-06,English,Not rated yet,668.00
The Audacity of Inez Burns,Writtenby:StephenG.Bloom,Narratedby:PeterBerkrot,13 hrs and 8 mins,06-02-18,English,Not rated yet,820.00
R. E. Lee: Volume Three,Writtenby:DouglasSouthallFreeman,Narratedby:CharltonGriffin,17 hrs and 52 mins,22-01-18,English,Not rated yet,"1,003.00"
"Plutarch’s Lives, Volume 1","Writtenby:Plutarch,JohnDryden-translator",Narratedby:BernardMayes,42 hrs and 26 mins,28-04-11,English,Not rated yet,"1,338.00"
Great Catherine,Writtenby:CarollyErickson,Narratedby:DavinaPorter,15 hrs and 2 mins,17-11-11,English,Not rated yet,"1,003.00"
"Black Gun, Silver Star: The Life and Legend of Frontier Marshal Bass Reeves",Writtenby:ArtT.Burton,Narratedby:RonButler,11 hrs and 15 mins,23-09-15,English,Not rated yet,836.00
Toussaint Louverture,Writtenby:PhilippeGirard,Narratedby:PaulWoodson,10 hrs and 26 mins,22-11-16,English,Not rated yet,938.00
James Madison,Writtenby:JeffBroadwater,Narratedby:JohnnyHeller,9 hrs and 7 mins,01-12-12,English,Not rated yet,836.00
Duel with the Devil,Writtenby:PaulCollins,Narratedby:MarkPeckham,7 hrs and 58 mins,14-08-15,English,Not rated yet,668.00
Twelve Years a Slave,Writtenby:SolomonNorthup,Narratedby:SeanCrisden,7 hrs and 16 mins,03-04-12,English,Not rated yet,668.00
"The Personal Memoirs of U.S. Grant, Part 2",Writtenby:UlyssesS.Grant,Narratedby:PeterJohnson,9 hrs and 39 mins,16-12-99,English,Not rated yet,836.00
The Blue Tattoo: The Life of Olive Oatman,Writtenby:MargotMifflin,Narratedby:KaipoSchwab,6 hrs and 47 mins,29-04-16,English,Not rated yet,668.00
Billy the Kid,Writtenby:MichaelWallis,Narratedby:ToddMcLaren,9 hrs and 5 mins,18-05-07,English,Not rated yet,820.00
Titanic,Writtenby:ColonelArchibaldGracie,Narratedby:FrederickDavidson,7 hrs and 2 mins,01-12-06,English,Not rated yet,702.00
Milton Hershey,"Writtenby:JanetBenge,GeoffBenge",Narratedby:TimGregory,4 hrs and 55 mins,26-10-15,English,Not rated yet,501.00
Corrie ten Boom,"Writtenby:JanetBenge,GeoffBenge",Narratedby:RebeccaGallagher,5 hrs,17-12-13,English,Not rated yet,680.00
R. E. Lee: Volume Two,Writtenby:DouglasSouthallFreeman,Narratedby:CharltonGriffin,19 hrs and 11 mins,05-01-18,English,Not rated yet,"1,338.00"
Courage and Conviction,"Writtenby:GeneralV.K.Singh,ShivKunalVerma",Narratedby:SagarArya,17 hrs and 9 mins,11-01-17,English,4.5 out of 5 stars13 ratings,"1,617.00"
India's Most Fearless,"Writtenby:ShivAroor,RahulSingh",Narratedby:PradeepKumar,7 hrs and 31 mins,22-01-19,English,4.5 out of 5 stars134 ratings,879.00
The Gulag Archipelago,Writtenby:AleksandrSolzhenitsyn,"Narratedby:JordanB.Peterson,IgnatSolzhenitsyn",23 hrs and 28 mins,27-06-19,English,4.5 out of 5 stars31 ratings,957.00
1962: The War That Wasn't,Writtenby:ShivKunalVerma,Narratedby:ManishDongardive,19 hrs and 20 mins,01-01-17,English,4.5 out of 5 stars95 ratings,959.00
An Indian Spy in Pakistan,Writtenby:MohanlalBhaskar,Narratedby:VivekVijayakumaran,7 hrs and 11 mins,19-01-17,English,4.5 out of 5 stars519 ratings,Free
Kargil,Writtenby:RachnaBisht,Narratedby:MaryJoseph,5 hrs and 7 mins,19-11-19,English,4.5 out of 5 stars57 ratings,879.00
Call Sign Chaos,"Writtenby:JimMattis,BingWest",Narratedby:DannyCampbell,12 hrs and 1 min,03-09-19,English,5 out of 5 stars8 ratings,"1,131.00"
"Autobiography of Ma-Ka-Tai-Me-She-Kia-Kiak, or Black Hawk (AmazonClassics Edition)",Writtenby:Ma-ka-tai-me-she-kia-kiak,Narratedby:DarrellDennis,3 hrs and 57 mins,05-04-22,English,Not rated yet,680.00
War Doctor,Writtenby:DavidNott,Narratedby:DavidNott,10 hrs and 55 mins,21-02-19,English,5 out of 5 stars10 ratings,323.00
The Nuremberg Interviews,"Writtenby:LeonGoldensohn,RobertGellately","Narratedby:NoahMichaelLevine,JoshuaKane",19 hrs and 16 mins,16-11-21,English,Not rated yet,"1,382.00"
Embrace the Suck,Writtenby:BrentGleeson,"Narratedby:BrentGleeson,JasonCulp",5 hrs and 14 mins,23-12-20,English,5 out of 5 stars2 ratings,500.00
Agent Zigzag,Writtenby:BenMacintyre,Narratedby:PeterWickham,11 hrs and 1 min,24-06-21,English,4.5 out of 5 stars3 ratings,911.00
Never Enough,Writtenby:MikeHayes,Narratedby:MikeHayes,6 hrs and 57 mins,09-02-21,English,5 out of 5 stars6 ratings,134.00
Meade at Gettysburg,Writtenby:KentMastersonBrown,Narratedby:ShawnCompton,14 hrs and 14 mins,30-11-21,English,Not rated yet,586.00
El hombre más feliz del mundo,"Writtenby:EddieJaku,MaríadelMarLópezGil-traductor",Narratedby:MiguelÁngelJenner,3 hrs and 59 mins,04-10-21,spanish,Not rated yet,844.00
Albanian Assignment,Writtenby:DavidSmiley,Narratedby:ShaunGrindell,6 hrs and 6 mins,10-08-21,English,Not rated yet,586.00
The Tightening Dark,"Writtenby:SamFarran,BenjaminBuchholz",Narratedby:FajerAl-Kaisi,8 hrs and 28 mins,27-07-21,English,Not rated yet,500.00
Sonne im Staub - Rückkehr nach Afghanistan,Writtenby:EnricoSenftleben,Narratedby:EnricoSenftleben,14 hrs and 37 mins,29-03-22,german,Not rated yet,837.00
Blackhorse Tales,Writtenby:DonSnedeker,Narratedby:CoreyM.Snow,9 hrs and 42 mins,29-03-22,English,Not rated yet,586.00
The Search for Major Plagge,Writtenby:MichaelGood,Narratedby:JamesRomick,11 hrs and 24 mins,29-03-22,English,Not rated yet,703.00
By Water Beneath the Walls,Writtenby:BenjaminH.Milligan,Narratedby:KaleoGriffith,22 hrs and 46 mins,20-07-21,English,Not rated yet,"1,507.00"
Ranger 22,Writtenby:RayGoggins,Narratedby:AnthonyDelaney,7 hrs and 23 mins,01-03-22,English,Not rated yet,797.00
From F-4 Phantom to A-10 Warthog,Writtenby:StevenKLadd,Narratedby:JeffBolton,12 hrs and 58 mins,24-03-22,English,Not rated yet,938.00
Who Dares Wins,Writtenby:PhilCampion,Narratedby:PhilCampion,7 hrs and 34 mins,10-06-21,English,Not rated yet,873.00
